mean=2_5_5,0.3748,0.3151,0.1221_0.501205411865_0.501205411865,0.00622594521168_0.469592105922_0.469592105922,133,133,133,8,8,8
mean=3_3_5,0.3056,0.1627,0.2078_0.2078_0.501205411865,0.00925462731366_0.00925462731366_0.469592105922,133,133,133,8,8,8
mean=3_4_5,0.2713,0.1596,0.2078_0.1048_0.501205411865,0.00925462731366_0.0_0.469592105922,133,133,133,8,8,8
mean=3_5_5,0.4034,0.3161,0.2078_0.501205411865_0.501205411865,0.00925462731366_0.469592105922_0.469592105922,133,133,133,8,8,8
mean=4_4_5,0.2369,0.1565,0.1048_0.1048_0.501205411865,0.0_0.0_0.469592105922,133,133,133,8,8,8
mean=4_5_5,0.3691,0.3131,0.1048_0.501205411865_0.501205411865,0.0_0.469592105922_0.469592105922,133,133,133,8,8,8
mean=5_5_5,0.4989,0.4672,0.494389545268_0.501205411865_0.501205411865,0.462344253731_0.469592105922_0.469592105922,101,133,133,8,8,8
mean=0_0_6,0.1088,0.1072,0.160828025478_0.160828025478_0.0048,0.160828025478_0.160828025478_0.0,101,101,249,8,8,6
mean=0_5_6,0.22,0.2077,0.160828025478_0.494389545268_0.0048,0.160828025478_0.462344253731_0.0,101,101,249,8,8,6
mean=0_4_6,0.0827,0.0462,0.138535031847_0.1048_0.0048,0.138535031847_0.0_0.0,87,133,249,8,8,6
mean=2_2_6,0.0821,0.0031,0.1193_0.1221_0.0048,0.00305637310392_0.00622594521168_0.0,87,133,249,8,8,6
mean=2_6_6,0.043,0.001,0.1193_0.0048_0.0048,0.00305637310392_0.0_0.0,87,249,249,8,6,6
mean=1_6_6,0.0278,0.008,0.0738757691812_0.0048_0.0048,0.0240202212552_0.0_0.0,64,249,249,8,6,6
mean=0_6_6,0.0372,0.034,0.101910828025_0.0048_0.0048,0.101910828025_0.0_0.0,64,249,249,8,6,6
mean=4_5_6,0.2036,0.1565,0.1048_0.501205411865_0.0048,0.0_0.469592105922_0.0,133,133,249,8,8,6
mean=2_5_6,0.2084,0.1575,0.1193_0.501205411865_0.0048,0.00305637310392_0.469592105922_0.0,87,133,249,8,8,6
mean=3_5_6,0.2379,0.1596,0.2078_0.501205411865_0.0048,0.00925462731366_0.469592105922_0.0,133,133,249,8,8,6
mean=0_1_6,0.0832,0.0655,0.138535031847_0.106172157841_0.0048,0.138535031847_0.0580552040462_0.0,87,133,249,8,8,6
mean=1_5_6,0.1964,0.1677,0.0898926443965_0.494389545268_0.0048,0.0408993243048_0.462344253731_0.0,101,101,249,8,8,6
mean=2_4_6,0.0763,0.001,0.1193_0.1048_0.0048,0.00305637310392_0.0_0.0,87,133,249,8,8,6
mean=1_2_6,0.0701,0.0135,0.0835268592193_0.1221_0.0048,0.0341908532358_0.00622594521168_0.0,87,133,249,8,8,6
mean=5_6_6,0.0884,0.0318,0.255681739234_0.0048_0.0048,0.0954369007479_0.0_0.0,18,249,249,7,6,6
mean=2_3_6,0.1106,0.0041,0.1193_0.2078_0.0048,0.00305637310392_0.00925462731366_0.0,87,133,249,8,8,6
mean=3_4_6,0.1058,0.0031,0.2078_0.1048_0.0048,0.00925462731366_0.0_0.0,133,133,249,8,8,6
mean=0_3_6,0.117,0.0493,0.138535031847_0.2078_0.0048,0.138535031847_0.00925462731366_0.0,87,133,249,8,8,6
mean=1_4_6,0.0644,0.0114,0.0835268592193_0.1048_0.0048,0.0341908532358_0.0_0.0,87,133,249,8,8,6
mean=1_3_6,0.0987,0.0145,0.0835268592193_0.2078_0.0048,0.0341908532358_0.00925462731366_0.0,87,133,249,8,8,6
mean=6_6_6,0.0048,0.0,0.0048_0.0048_0.0048,0.0_0.0_0.0,249,249,249,6,6,6
mean=0_2_6,0.0885,0.0483,0.138535031847_0.1221_0.0048,0.138535031847_0.00622594521168_0.0,87,133,249,8,8,6
mean=3_3_6,0.1401,0.0062,0.2078_0.2078_0.0048,0.00925462731366_0.00925462731366_0.0,133,133,249,8,8,6
mean=4_6_6,0.0381,0.0,0.1048_0.0048_0.0048,0.0_0.0_0.0,133,249,249,8,6,6
mean=3_6_6,0.0725,0.0031,0.2078_0.0048_0.0048,0.00925462731366_0.0_0.0,133,249,249,8,6,6
mean=5_5_6,0.3312,0.3082,0.494389545268_0.494389545268_0.0048,0.462344253731_0.462344253731_0.0,101,101,249,8,8,6
mean=1_1_6,0.0615,0.0273,0.0898926443965_0.0898926443965_0.0048,0.0408993243048_0.0408993243048_0.0,101,101,249,8,8,6
mean=4_4_6,0.0715,0.0,0.1048_0.1048_0.0048,0.0_0.0_0.0,133,133,249,8,8,6
