mean=0_0_0_0_1_2_4_4_4,0.2471,0.1961,0.364649681529_0.364649681529_0.364649681529_0.364649681529_0.208583133978_0.1523_0.1347_0.1347_0.1347,0.364649681529_0.364649681529_0.364649681529_0.364649681529_0.165979215216_0.040412044374_0.033400357462_0.033400357462_0.033400357462,229,229,229,229,249,249,249,249,249,8,8,8,8,8,8,8,8,8
mean=1_2_3_3_3_4_4_4_4,0.17,0.0424,0.181756735318_0.1523_0.2191_0.2191_0.2191_0.1347_0.1347_0.1347_0.1347,0.137708685456_0.040412044374_0.0233866933467_0.0233866933467_0.0233866933467_0.033400357462_0.033400357462_0.033400357462_0.033400357462,229,249,229,229,229,249,249,249,249,8,8,8,8,8,8,8,8,8
mean=0_0_1_2_2_2_4_4_5,0.2732,0.2072,0.364649681529_0.364649681529_0.181756735318_0.1523_0.1523_0.1523_0.1347_0.1347_0.821220244371,0.364649681529_0.364649681529_0.137708685456_0.040412044374_0.040412044374_0.040412044374_0.033400357462_0.033400357462_0.809889289214,229,229,229,249,249,249,249,249,229,8,8,8,8,8,8,8,8,8
mean=0_0_2_2_2_2_2_3_3,0.2143,0.1087,0.364649681529_0.364649681529_0.1523_0.1523_0.1523_0.1523_0.1523_0.2191_0.2191,0.364649681529_0.364649681529_0.040412044374_0.040412044374_0.040412044374_0.040412044374_0.040412044374_0.0233866933467_0.0233866933467,229,229,249,249,249,249,249,229,229,8,8,8,8,8,8,8,8,8
mean=0_0_2_3_4_4_4_4_4,0.1956,0.1049,0.364649681529_0.364649681529_0.1385_0.2191_0.1347_0.1347_0.1347_0.1347_0.1347,0.364649681529_0.364649681529_0.0247905818429_0.0233866933467_0.033400357462_0.033400357462_0.033400357462_0.033400357462_0.033400357462,229,229,229,229,249,249,249,249,249,8,8,8,8,8,8,8,8,8
mean=1_1_2_5_5_5_5_5_5,0.5177,0.409,0.256078909052_0.284037143404_0.2461875_0.645464201473_0.645464201473_0.645464201473_0.645464201473_0.645464201473_0.645464201473,0.104036348366_0.137708685456_0.0247905818429_0.569135922608_0.569135922608_0.569135922608_0.569135922608_0.569135922608_0.569135922608,197,229,229,197,197,197,197,197,197,7,7,7,7,7,7,7,7,7
mean=3_5_5_5_5_5_5_5_5,0.8148,0.7225,0.651383928571_0.821220244371_0.821220244371_0.821220244371_0.843567713825_0.843567713825_0.843567713825_0.843567713825_0.843567713825,0.0233866933467_0.809889289214_0.809889289214_0.809889289214_0.809889289214_0.809889289214_0.809889289214_0.809889289214_0.809889289214,229,229,229,229,229,229,229,229,229,5,8,8,8,7,7,7,7,7
mean=0_0_0_0_1_1_3_3_4,0.276,0.2128,0.364649681529_0.364649681529_0.364649681529_0.364649681529_0.208583133978_0.208583133978_0.2368_0.2368_0.1347,0.364649681529_0.364649681529_0.364649681529_0.364649681529_0.165979215216_0.165979215216_0.0455227613807_0.0455227613807_0.033400357462,229,229,229,229,249,249,249,249,249,8,8,8,8,8,8,8,8,8
mean=0_2_2_3_3_3_4_5_5,0.3623,0.1951,0.558803457689_0.2582625_0.2582625_0.2368_0.2582_0.2582_0.2428625_0.594816230255_0.594816230255,0.313694267516_0.040412044374_0.040412044374_0.0455227613807_0.0722861430715_0.0722861430715_0.033400357462_0.569135922608_0.569135922608,197,249,249,249,280,280,249,197,197,6,7,7,8,8,8,7,8,8
mean=0_1_2_3_3_3_4_5_5,0.3415,0.2121,0.399482484077_0.208583133978_0.2582625_0.2582_0.2582_0.2582_0.2428625_0.594816230255_0.594816230255,0.313694267516_0.165979215216_0.040412044374_0.0722861430715_0.0722861430715_0.0722861430715_0.033400357462_0.569135922608_0.569135922608,197,249,249,280,280,280,249,197,197,7,8,7,8,8,8,7,8,8
mean=0_0_0_2_2_2_2_3_3,0.2399,0.1472,0.364649681529_0.364649681529_0.364649681529_0.1523_0.1523_0.1523_0.1523_0.2191_0.2368,0.364649681529_0.364649681529_0.364649681529_0.040412044374_0.040412044374_0.040412044374_0.040412044374_0.0233866933467_0.0455227613807,229,229,229,249,249,249,249,229,249,8,8,8,8,8,8,8,8,8
mean=0_1_1_1_1_2_4_5_5,0.3466,0.2661,0.399482484077_0.208583133978_0.273385808506_0.273385808506_0.273385808506_0.2582625_0.2428625_0.594816230255_0.594816230255,0.313694267516_0.165979215216_0.23427037729_0.23427037729_0.23427037729_0.040412044374_0.033400357462_0.569135922608_0.569135922608,197,249,280,280,280,249,249,197,197,7,8,8,8,8,7,7,8,8
mean=0_0_0_0_0_1_3_4_5,0.3714,0.3339,0.364649681529_0.364649681529_0.364649681529_0.364649681529_0.396496815287_0.273385808506_0.2582_0.1347_0.821220244371,0.364649681529_0.364649681529_0.364649681529_0.364649681529_0.396496815287_0.23427037729_0.0722861430715_0.033400357462_0.809889289214,229,229,229,229,249,280,280,249,229,8,8,8,8,8,8,8,8,8
